Time;Ecg 1;Ecg 2
18:42:52.670;579.0;1535.0
18:42:52.710;275.0;1230.0
18:42:52.750;-275.0;255.0
18:42:52.790;-539.0;-215.0
18:42:52.830;-661.0;-302.0
18:42:52.870;-658.0;-315.0
18:42:52.910;-667.0;-418.0
18:42:52.950;-621.0;-469.0
18:42:52.990;-503.0;-399.0
18:42:53.030;-134.0;303.0
18:42:53.070;-103.0;263.0
18:42:53.110;-179.0;-73.0
18:42:53.150;1765.0;-411.0
18:42:53.190;-55.0;-177.0
18:42:53.230;-2.0;10.0
18:42:53.270;159.0;203.0
18:42:53.310;375.0;565.0
18:42:53.350;689.0;1143.0
18:42:55.914;691.0;1538.0
18:42:55.954;234.0;553.0
18:42:55.994;85.0;183.0
18:42:56.034;67.0;-125.0
18:42:56.074;18.0;-311.0
18:42:56.114;-14.0;-473.0
18:42:56.154;-20.0;-365.0
18:42:56.194;-40.0;-244.0
18:42:56.234;-352.0;-725.0
18:42:56.274;-196.0;-1078.0
18:42:56.314;-2161.0;469.0
18:42:56.354;-1330.0;-301.0
18:42:56.394;-759.0;-515.0
18:42:56.434;-259.0;-251.0
18:42:56.474;265.0;380.0
18:42:56.514;680.0;1231.0
18:42:56.554;538.0;1232.0
18:42:56.594;106.0;324.0
18:42:56.634;-147.0;-267.0
18:42:56.674;-253.0;-376.0
18:42:56.714;-233.0;-297.0
18:42:56.754;-241.0;-333.0
18:42:56.794;-220.0;-375.0
18:42:56.834;-154.0;-201.0
18:42:56.874;69.0;99.0
18:42:56.914;451.0;656.0
18:42:56.954;301.0;305.0
18:42:56.994;206.0;-3.0
18:42:57.034;-1061.0;8863.0
18:42:57.074;-439.0;3758.0
18:42:57.114;61.0;1274.0
18:42:57.154;355.0;249.0
18:42:57.194;668.0;118.0
18:42:57.234;968.0;567.0
18:42:57.274;804.0;669.0
18:42:57.314;194.0;-204.0
18:42:57.354;-314.0;-978.0
18:42:57.394;-511.0;-1177.0
18:42:57.434;-577.0;-1117.0
18:42:57.474;-593.0;-1049.0
18:42:57.514;-600.0;-1036.0
18:42:57.554;-576.0;-986.0
18:42:57.594;-534.0;-879.0
18:42:57.634;-371.0;-487.0
18:42:57.674;-83.0;24.0
18:42:57.714;-248.0;-296.0
18:42:57.754;-349.0;-461.0
18:42:57.794;-1442.0;8496.0
18:42:57.834;-606.0;3740.0
18:42:57.874;132.0;1452.0
18:42:57.914;687.0;714.0
18:42:57.954;1269.0;787.0
18:42:57.994;1738.0;1358.0
18:42:58.034;1646.0;1462.0
18:42:58.074;950.0;505.0
18:42:58.114;257.0;-474.0
18:42:58.154;-199.0;-937.0
18:42:58.194;-532.0;-1129.0
18:42:58.234;-614.0;-1279.0
18:42:58.274;-771.0;-1456.0
18:42:58.314;-829.0;-1500.0
18:42:58.354;-828.0;-1470.0
18:42:58.394;-746.0;-1387.0
18:42:58.434;-586.0;-973.0
18:42:58.474;-437.0;-703.0
18:42:58.514;-542.0;-921.0
18:42:58.554;221.0;-1121.0
18:42:58.594;-1558.0;1.0
18:42:58.634;-753.0;-180.0
18:42:58.674;-149.0;-170.0
18:42:58.714;397.0;214.0
18:42:58.754;956.0;922.0
18:42:58.794;1411.0;1749.0
18:42:58.834;1381.0;1786.0
18:42:58.874;959.0;809.0
18:42:58.914;636.0;160.0
18:42:58.954;445.0;-218.0
18:42:58.994;293.0;-461.0
18:42:59.034;69.0;-690.0
18:42:59.074;-210.0;-970.0
18:42:59.114;-361.0;-1144.0
18:42:59.154;-557.0;-1248.0
18:42:59.194;-571.0;-988.0
18:42:59.234;-509.0;-746.0
18:42:59.274;-648.0;-1048.0
18:42:59.314;-327.0;-1199.0
18:42:59.354;-2007.0;978.0
18:42:59.394;-1049.0;164.0
18:42:59.434;-405.0;-92.0
18:42:59.474;107.0;162.0
18:42:59.514;686.0;772.0
18:42:59.554;1063.0;1612.0
18:42:59.594;959.0;1546.0
18:42:59.634;511.0;606.0
18:42:59.674;300.0;-16.0
18:42:59.714;288.0;-74.0
18:42:59.754;328.0;2.0
18:42:59.794;290.0;-110.0
18:42:59.834;224.0;-256.0
18:42:59.874;104.0;-436.0
18:42:57.740;-95.0;-588.0
18:42:57.780;-107.0;-388.0
18:42:57.820;-70.0;-378.0
18:42:57.860;17.0;-140.0
18:42:57.900;335.0;315.0
18:42:57.940;600.0;1041.0
18:42:57.980;380.0;1079.0
18:42:58.020;-125.0;136.0
18:42:58.060;-530.0;-539.0
18:42:58.100;-665.0;-686.0
18:42:58.140;-687.0;-651.0
18:42:58.180;-683.0;-685.0
18:42:58.220;-671.0;-735.0
18:42:58.260;-670.0;-731.0
18:42:58.300;-615.0;-703.0
18:42:58.340;-491.0;-575.0
18:42:58.380;-373.0;-221.0
18:42:58.420;-141.0;41.0
18:42:58.460;-119.0;-174.0
18:42:58.500;328.0;-125.0
18:42:58.540;-1542.0;1825.0
18:42:58.580;-512.0;918.0
18:42:58.620;115.0;623.0
18:42:58.660;566.0;669.0
18:42:58.700;1010.0;1129.0
18:42:58.740;1372.0;1769.0
18:42:58.780;1010.0;1555.0
18:42:58.820;276.0;285.0
18:42:58.860;-286.0;-567.0
18:42:58.900;-563.0;-961.0
18:42:58.940;-625.0;-1028.0
18:42:58.980;-631.0;-1134.0
18:42:59.020;-607.0;-1293.0
18:42:59.060;-567.0;-1215.0
18:42:59.100;-540.0;-1151.0
18:42:59.140;-377.0;-759.0
18:42:59.180;-254.0;-534.0
18:42:59.220;-365.0;-842.0
18:42:59.260;-146.0;-979.0
18:42:59.300;-1369.0;2127.0
18:42:59.340;-630.0;776.0
18:42:59.380;23.0;344.0
18:42:59.420;571.0;514.0
18:42:59.460;1194.0;1163.0
18:42:59.500;1620.0;1959.0
